id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,5.6448e+06,4.71798e+08,3528,1600,2
1,4.36424e+08,4.54111e+08,20664,21120,1
2,4.36424e+08,4.54111e+08,20664,21120,1
3,5.6448e+06,4.71798e+08,3528,1600,2
4,6.02112e+06,5.11311e+08,4704,1280,0
5,7.5264e+06,8.12851e+07,4704,1600,3
6,6.02112e+06,6.6985e+07,4704,1280,3
7,6.02112e+06,5.11311e+08,4704,1280,0
8,6.02112e+06,8.73062e+07,4704,1280,0
9,6.02112e+06,5.11311e+08,4704,1280,0
10,6.02112e+06,6.92429e+07,4704,1280,0
11,6.02112e+06,6.6985e+07,4704,1280,3
12,6.02112e+06,6.92429e+07,4704,1280,0
13,6.02112e+06,8.73062e+07,4704,1280,0
14,6.02112e+06,5.11311e+08,4704,1280,0
15,6.02112e+06,6.92429e+07,4704,1280,0
16,7.5264e+06,8.12851e+07,4704,1600,3
17,6.02112e+06,6.92429e+07,4704,1280,0
