id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,7.5264e+06,1.52033e+08,4704,1600,0
1,7.5264e+06,1.65581e+08,4704,1600,0
2,7.5264e+06,1.43002e+08,4704,1600,0
3,9.03168e+06,1.71602e+08,7056,1280,0
4,9.03168e+06,1.79881e+08,7056,1280,0
5,7.5264e+06,1.43002e+08,4704,1600,0
6,7.5264e+06,1.70097e+08,4704,1600,0
7,9.03168e+06,1.64076e+08,7056,1280,0
8,7.5264e+06,1.56549e+08,4704,1600,0
9,7.5264e+06,1.61065e+08,4704,1600,0
10,7.5264e+06,1.56549e+08,4704,1600,0
11,7.5264e+06,1.65581e+08,4704,1600,0
12,9.03168e+06,1.89665e+08,7056,1280,0
13,7.5264e+06,1.8816e+08,4704,1600,0
14,7.5264e+06,1.43002e+08,4704,1600,0
15,1.12896e+07,2.15255e+08,7056,1600,3
16,7.5264e+06,1.56549e+08,4704,1600,0
17,7.5264e+06,1.56549e+08,4704,1600,0
18,7.5264e+06,1.7687e+08,4704,1600,0
19,7.5264e+06,1.43002e+08,4704,1600,0
20,9.03168e+06,1.98697e+08,7056,1280,0
21,7.5264e+06,1.52033e+08,4704,1600,0
22,9.03168e+06,1.82139e+08,7056,1280,0
23,9.03168e+06,1.98697e+08,7056,1280,0
24,9.03168e+06,1.89665e+08,7056,1280,0
25,9.03168e+06,1.98697e+08,7056,1280,0
26,9.03168e+06,1.96439e+08,7056,1280,0
27,9.03168e+06,1.80634e+08,7056,1280,0
28,1.12896e+07,1.89665e+08,7056,1600,3
29,9.03168e+06,1.89665e+08,7056,1280,0
30,9.03168e+06,1.85149e+08,7056,1280,0
31,9.03168e+06,1.80634e+08,7056,1280,0
