id,is_symmetric_net,is_global_net,is_pin_net,degree,sum_of_degree_of_neighbor_nets,HPWL
0,0,0,0,2,38,2560
1,0,0,0,5,57,20704
2,0,0,0,5,57,9024
3,0,0,0,6,57,13024
4,0,0,0,4,51,10464
5,0,0,0,3,59,24040
6,0,1,0,15,99,34624
7,0,0,0,3,37,11520
8,2,0,0,2,36,5504
9,0,0,0,4,51,8544
10,2,0,0,2,27,5184
11,0,0,0,2,31,14464
12,0,0,1,2,33,4704
13,0,0,0,6,58,29984
14,0,0,0,3,41,25960
15,0,0,0,3,41,13256
16,0,0,0,4,51,7264
17,0,1,0,21,119,38408
18,0,0,0,3,59,9600
19,2,0,1,1,29,12616
20,2,0,0,2,36,5504
21,0,0,1,2,34,8544
22,0,0,0,5,60,23688
23,0,0,0,2,38,2560
24,2,0,1,1,29,14688
25,0,0,1,1,32,13048
26,0,0,0,4,51,14720
27,0,0,1,1,20,6536
28,0,0,1,4,48,9344
29,2,0,0,2,27,5184
30,0,0,1,1,26,6008
31,0,0,0,4,58,19848
