id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,6.2496e+07,2.04019e+08,12600,4960,2
1,8.12851e+08,1.06566e+09,28224,28800,1
2,6.2496e+07,2.04019e+08,12600,4960,2
3,4.29005e+07,6.13993e+08,7056,6080,0
4,7.90272e+07,1.47362e+09,7056,11200,0
5,7.90272e+07,1.47362e+09,7056,11200,0
6,4.29005e+07,2.20825e+09,7056,6080,0
7,1.57248e+07,1.06566e+09,6552,2400,2
8,1.15154e+08,1.41112e+09,7056,16320,0
9,2.23534e+08,1.41112e+09,7056,31680,3
10,1.57248e+07,1.17404e+09,6552,2400,2
11,8.12851e+08,1.17404e+09,28224,28800,1
