id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.28701e+08,1.00703e+09,21168,6080,0
1,1.28701e+08,9.89722e+08,21168,6080,3
2,1.28701e+08,8.6102e+08,21168,6080,3
3,1.61818e+08,1.141e+09,11760,13760,0
4,7.90272e+07,1.00703e+09,7056,11200,0
5,7.90272e+07,1.00703e+09,7056,11200,1
6,1.61818e+08,1.141e+09,11760,13760,0
7,4.29005e+07,1.17261e+09,7056,6080,0
8,1.28701e+08,1.13573e+09,21168,6080,3
9,2.37082e+08,1.33067e+09,21168,11200,3
10,1.55796e+08,1.28701e+09,21168,7360,0
11,1.55796e+08,1.28701e+09,21168,7360,0
12,2.37082e+08,1.17261e+09,21168,11200,3
13,4.29005e+07,1.33067e+09,7056,6080,0
