id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,2.75789e+07,7.99949e+07,9576,2880,2
1,2.75789e+07,7.99949e+07,9576,2880,2
2,6.20928e+06,3.25114e+08,3528,1760,2
3,2.17298e+08,2.98771e+08,14448,15040,1
4,6.09638e+07,4.00378e+08,7056,8640,3
5,3.38688e+07,4.00378e+08,7056,4800,0
6,2.48371e+07,4.27956e+08,7056,3520,0
7,6.20928e+06,2.98019e+08,3528,1760,2
8,1.58054e+07,1.89289e+08,7056,2240,0
9,2.48371e+07,4.27956e+08,7056,3520,0
10,1.65581e+07,6.11466e+08,4704,3520,0
11,2.17298e+08,3.25866e+08,14448,15040,1
