id,area,sum_of_area_of_neighbor_device,height,width,device_type
0,1.58054e+07,1.67086e+08,7056,2240,0
1,1.58054e+07,1.67086e+08,7056,2240,0
2,2.03213e+07,1.94181e+08,7056,2880,0
3,1.58054e+07,1.67086e+08,7056,2240,0
4,2.03213e+07,1.94181e+08,7056,2880,0
5,1.58054e+07,1.67086e+08,7056,2240,0
6,2.03213e+07,1.78376e+08,7056,2880,0
7,1.58054e+07,1.67086e+08,7056,2240,0
8,2.03213e+07,1.94181e+08,7056,2880,0
9,2.03213e+07,1.94181e+08,7056,2880,0
10,2.03213e+07,1.94181e+08,7056,2880,0
11,1.58054e+07,1.67086e+08,7056,2240,0
12,1.58054e+07,1.46765e+08,7056,2240,0
13,1.58054e+07,1.67086e+08,7056,2240,0
14,2.03213e+07,1.94181e+08,7056,2880,0
15,2.03213e+07,1.94181e+08,7056,2880,0
